#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"andar, yo, presente progresivo",andar,chodzić,to walk,yo,presente_progresivo,estoy andando,,False,
"andar, tú, presente progresivo",andar,chodzić,to walk,tu,presente_progresivo,estás andando,,False,
"andar, él, presente progresivo",andar,chodzić,to walk,el,presente_progresivo,está andando,,False,
"andar, ns, presente progresivo",andar,chodzić,to walk,ns,presente_progresivo,estamos andando,,False,
"andar, vs, presente progresivo",andar,chodzić,to walk,vs,presente_progresivo,estáis andando,,False,
"andar, ellos, presente progresivo",andar,chodzić,to walk,ellos,presente_progresivo,están andando,,False,
"andar, yo, pretérito imperfecto",andar,chodzić,to walk,yo,pret_imperfecto,andaba,,False,
"andar, tú, pretérito imperfecto",andar,chodzić,to walk,tu,pret_imperfecto,andabas,,False,
"andar, él, pretérito imperfecto",andar,chodzić,to walk,el,pret_imperfecto,andaba,,False,
"andar, ns, pretérito imperfecto",andar,chodzić,to walk,ns,pret_imperfecto,andábamos,,False,
"andar, vs, pretérito imperfecto",andar,chodzić,to walk,vs,pret_imperfecto,andabais,,False,
"andar, ellos, pretérito imperfecto",andar,chodzić,to walk,ellos,pret_imperfecto,andaban,,False,
"andar, tú, imperativo",andar,chodzić,to walk,tu,imperativo,anda,,False,
"andar, usted, imperativo",andar,chodzić,to walk,ud,imperativo,ande,,False,
"andar, ns, imperativo",andar,chodzić,to walk,ns,imperativo,andemos,,False,
"andar, vs, imperativo",andar,chodzić,to walk,vs,imperativo,andad,,False,
"andar, ustedes, imperativo",andar,chodzić,to walk,uds,imperativo,anden,,False,
"andar, yo, futuro",andar,chodzić,to walk,yo,futuro_simple,andaré,,False,
"andar, tú, futuro",andar,chodzić,to walk,tu,futuro_simple,andarás,,False,
"andar, él, futuro",andar,chodzić,to walk,el,futuro_simple,andará,,False,
"andar, ns, futuro",andar,chodzić,to walk,ns,futuro_simple,andaremos,,False,
"andar, vs, futuro",andar,chodzić,to walk,vs,futuro_simple,andaréis,,False,
"andar, ellos, futuro",andar,chodzić,to walk,ellos,futuro_simple,andarán,,False,
"comer, yo, presente",comer,jeść,to eat,yo,presente,como,ję,False,
"comer, tú, presente",comer,jeść,to eat,tu,presente,comes,jesz,False,
"comer, él, presente",comer,jeść,to eat,el,presente,come,je,False,
"comer, ns, presente",comer,jeść,to eat,ns,presente,comemos,jemy,False,
"comer, vs, presente",comer,jeść,to eat,vs,presente,coméis,jecie,False,
"comer, ellos, presente",comer,jeść,to eat,ellos,presente,comen,ją,False,
"comer, yo, pret. indefinido",comer,jeść,to eat,yo,pret_indefinido,comí,jadłem,False,
"comer, tú, pret. indefinido",comer,jeść,to eat,tu,pret_indefinido,comiste,jadłeś,False,
"comer, él, pret. indefinido",comer,jeść,to eat,el,pret_indefinido,comió,jadł,False,
"comer, ns, pret. indefinido",comer,jeść,to eat,ns,pret_indefinido,comimos,jedliśmy,False,
"comer, vs, pret. indefinido",comer,jeść,to eat,vs,pret_indefinido,comisteis,jedliście,False,
"comer, ellos, pret. indefinido",comer,jeść,to eat,ellos,pret_indefinido,comieron,jedli,False,
"comer, yo, pret. perfecto",comer,jeść,to eat,yo,pret_perfecto,he comido,,False,
"comer, tú, pret. perfecto",comer,jeść,to eat,tu,pret_perfecto,has comido,,False,
"comer, él, pret. perfecto",comer,jeść,to eat,el,pret_perfecto,ha comido,,False,
"comer, ns, pret. perfecto",comer,jeść,to eat,ns,pret_perfecto,hemos comido,,False,
"comer, vs, pret. perfecto",comer,jeść,to eat,vs,pret_perfecto,habéis comido,,False,
"comer, ellos, pret. perfecto",comer,jeść,to eat,ellos,pret_perfecto,han comido,,False,
"comer, yo, presente progresivo",comer,jeść,to eat,yo,presente_progresivo,estoy comiendo,,False,
"comer, tú, presente progresivo",comer,jeść,to eat,tu,presente_progresivo,estás comiendo,,False,
"comer, él, presente progresivo",comer,jeść,to eat,el,presente_progresivo,está comiendo,,False,
"comer, ns, presente progresivo",comer,jeść,to eat,ns,presente_progresivo,estamos comiendo,,False,
"comer, vs, presente progresivo",comer,jeść,to eat,vs,presente_progresivo,estáis comiendo,,False,
"comer, ellos, presente progresivo",comer,jeść,to eat,ellos,presente_progresivo,están comiendo,,False,
"comer, yo, pretérito imperfecto",comer,jeść,to eat,yo,pret_imperfecto,comía,,False,
"comer, tú, pretérito imperfecto",comer,jeść,to eat,tu,pret_imperfecto,comías,,False,
"comer, él, pretérito imperfecto",comer,jeść,to eat,el,pret_imperfecto,comía,,False,
"comer, ns, pretérito imperfecto",comer,jeść,to eat,ns,pret_imperfecto,comíamos,,False,
"comer, vs, pretérito imperfecto",comer,jeść,to eat,vs,pret_imperfecto,comíais,,False,
"comer, ellos, pretérito imperfecto",comer,jeść,to eat,ellos,pret_imperfecto,comían,,False,
"comer, tú, imperativo",comer,jeść,to eat,tu,imperativo,come,,False,
"comer, usted, imperativo",comer,jeść,to eat,ud,imperativo,coma,,False,
"comer, ns, imperativo",comer,jeść,to eat,ns,imperativo,comamos,,False,
"comer, vs, imperativo",comer,jeść,to eat,vs,imperativo,comed,,False,
"comer, ustedes, imperativo",comer,jeść,to eat,uds,imperativo,coman,,False,
"comer, yo, futuro",comer,jeść,to eat,yo,futuro_simple,comeré,,False,
"comer, tú, futuro",comer,jeść,to eat,tu,futuro_simple,comerás,,False,
"comer, él, futuro",comer,jeść,to eat,el,futuro_simple,comerá,,False,
"comer, ns, futuro",comer,jeść,to eat,ns,futuro_simple,comeremos,,False,
"comer, vs, futuro",comer,jeść,to eat,vs,futuro_simple,comeréis,,False,
"comer, ellos, futuro",comer,jeść,to eat,ellos,futuro_simple,comerán,,False,
"comprar, yo, presente",comprar,kupować,to buy,yo,presente,compro,kupuję,False,
"comprar, tú, presente",comprar,kupować,to buy,tu,presente,compras,kupujesz,False,
"comprar, él, presente",comprar,kupować,to buy,el,presente,compra,kupuje,False,
"comprar, ns, presente",comprar,kupować,to buy,ns,presente,compramos,kupujemy,False,
"comprar, vs, presente",comprar,kupować,to buy,vs,presente,compráis,kupujecie,False,
"comprar, ellos, presente",comprar,kupować,to buy,ellos,presente,compran,kupują,False,
"comprar, yo, pret. indefinido",comprar,kupować,to buy,yo,pret_indefinido,compré,kupiłem,False,
"comprar, tú, pret. indefinido",comprar,kupować,to buy,tu,pret_indefinido,compraste,kupiłeś,False,
"comprar, él, pret. indefinido",comprar,kupować,to buy,el,pret_indefinido,compró,kupił,False,
"comprar, ns, pret. indefinido",comprar,kupować,to buy,ns,pret_indefinido,compramos,kupiliśmy,False,
"comprar, vs, pret. indefinido",comprar,kupować,to buy,vs,pret_indefinido,comprasteis,kupiliście,False,
"comprar, ellos, pret. indefinido",comprar,kupować,to buy,ellos,pret_indefinido,compraron,kupili,False,
"comprar, yo, pret. perfecto",comprar,kupować,to buy,yo,pret_perfecto,he comprado,,False,
"comprar, tú, pret. perfecto",comprar,kupować,to buy,tu,pret_perfecto,has comprado,,False,
"comprar, él, pret. perfecto",comprar,kupować,to buy,el,pret_perfecto,ha comprado,,False,
"comprar, ns, pret. perfecto",comprar,kupować,to buy,ns,pret_perfecto,hemos comprado,,False,
"comprar, vs, pret. perfecto",comprar,kupować,to buy,vs,pret_perfecto,habéis comprado,,False,
"comprar, ellos, pret. perfecto",comprar,kupować,to buy,ellos,pret_perfecto,han comprado,,False,
"comprar, yo, presente progresivo",comprar,kupować,to buy,yo,presente_progresivo,estoy comprando,,False,
"comprar, tú, presente progresivo",comprar,kupować,to buy,tu,presente_progresivo,estás comprando,,False,
"comprar, él, presente progresivo",comprar,kupować,to buy,el,presente_progresivo,está comprando,,False,
"comprar, ns, presente progresivo",comprar,kupować,to buy,ns,presente_progresivo,estamos comprando,,False,
"comprar, vs, presente progresivo",comprar,kupować,to buy,vs,presente_progresivo,estáis comprando,,False,
"comprar, ellos, presente progresivo",comprar,kupować,to buy,ellos,presente_progresivo,están comprando,,False,
"comprar, yo, pretérito imperfecto",comprar,kupować,to buy,yo,pret_imperfecto,compraba,,False,
"comprar, tú, pretérito imperfecto",comprar,kupować,to buy,tu,pret_imperfecto,comprabas,,False,
"comprar, él, pretérito imperfecto",comprar,kupować,to buy,el,pret_imperfecto,compraba,,False,
"comprar, ns, pretérito imperfecto",comprar,kupować,to buy,ns,pret_imperfecto,comprábamos,,False,
"comprar, vs, pretérito imperfecto",comprar,kupować,to buy,vs,pret_imperfecto,comprabais,,False,
"comprar, ellos, pretérito imperfecto",comprar,kupować,to buy,ellos,pret_imperfecto,compraban,,False,
"comprar, tú, imperativo",comprar,kupować,to buy,tu,imperativo,compra,,False,
"comprar, usted, imperativo",comprar,kupować,to buy,ud,imperativo,compre,,False,
"comprar, ns, imperativo",comprar,kupować,to buy,ns,imperativo,compremos,,False,
"comprar, vs, imperativo",comprar,kupować,to buy,vs,imperativo,comprad,,False,
"comprar, ustedes, imperativo",comprar,kupować,to buy,uds,imperativo,compren,,False,
"comprar, yo, futuro",comprar,kupować,to buy,yo,futuro_simple,compraré,,False,
"comprar, tú, futuro",comprar,kupować,to buy,tu,futuro_simple,comprarás,,False,
"comprar, él, futuro",comprar,kupować,to buy,el,futuro_simple,comprará,,False,
"comprar, ns, futuro",comprar,kupować,to buy,ns,futuro_simple,compraremos,,False,
"comprar, vs, futuro",comprar,kupować,to buy,vs,futuro_simple,compraréis,,False,
"comprar, ellos, futuro",comprar,kupować,to buy,ellos,futuro_simple,comprarán,,False,
"confundirse, yo, presente",confundirse,pomylić się,to make a mistake,yo,presente,me confundo,,False,
"confundirse, tú, presente",confundirse,pomylić się,to make a mistake,tu,presente,te confundes,,False,
"confundirse, él, presente",confundirse,pomylić się,to make a mistake,el,presente,se confunde,,False,
"confundirse, ns, presente",confundirse,pomylić się,to make a mistake,ns,presente,nos confundimos,,False,
"confundirse, vs, presente",confundirse,pomylić się,to make a mistake,vs,presente,os confundís,,False,
"confundirse, ellos, presente",confundirse,pomylić się,to make a mistake,ellos,presente,se confunden,,False,
"confundirse, yo, pret. indefinido",confundirse,pomylić się,to make a mistake,yo,pret_indefinido,me confundí,,False,
"confundirse, tú, pret. indefinido",confundirse,pomylić się,to make a mistake,tu,pret_indefinido,te confundiste,,False,
"confundirse, él, pret. indefinido",confundirse,pomylić się,to make a mistake,el,pret_indefinido,se confundió,,False,
"confundirse, ns, pret. indefinido",confundirse,pomylić się,to make a mistake,ns,pret_indefinido,nos confundimos,,False,
"confundirse, vs, pret. indefinido",confundirse,pomylić się,to make a mistake,vs,pret_indefinido,os confundisteis,,False,
"confundirse, ellos, pret. indefinido",confundirse,pomylić się,to make a mistake,ellos,pret_indefinido,se confundieron,,False,
"confundirse, yo, pret. perfecto",confundirse,pomylić się,to make a mistake,yo,pret_perfecto,me he confundido,,False,
"confundirse, tú, pret. perfecto",confundirse,pomylić się,to make a mistake,tu,pret_perfecto,te has confundido,,False,
"confundirse, él, pret. perfecto",confundirse,pomylić się,to make a mistake,el,pret_perfecto,se ha confundido,,False,
"confundirse, ns, pret. perfecto",confundirse,pomylić się,to make a mistake,ns,pret_perfecto,nos hemos confundido,,False,
"confundirse, vs, pret. perfecto",confundirse,pomylić się,to make a mistake,vs,pret_perfecto,os habéis confundido,,False,
"confundirse, ellos, pret. perfecto",confundirse,pomylić się,to make a mistake,ellos,pret_perfecto,se han confundido,,False,
"confundirse, yo, presente progresivo",confundirse,pomylić się,to make a mistake,yo,presente_progresivo,me estoy confundiendo,,False,
"confundirse, tú, presente progresivo",confundirse,pomylić się,to make a mistake,tu,presente_progresivo,te estás confundiendo,,False,
"confundirse, él, presente progresivo",confundirse,pomylić się,to make a mistake,el,presente_progresivo,se está confundiendo,,False,
"confundirse, ns, presente progresivo",confundirse,pomylić się,to make a mistake,ns,presente_progresivo,nos estamos confundiendo,,False,
"confundirse, vs, presente progresivo",confundirse,pomylić się,to make a mistake,vs,presente_progresivo,os estáis confundiendo,,False,
"confundirse, ellos, presente progresivo",confundirse,pomylić się,to make a mistake,ellos,presente_progresivo,se están confundiendo,,False,
"confundirse, yo, pretérito imperfecto",confundirse,pomylić się,to make a mistake,yo,pret_imperfecto,me confundía,,False,
"confundirse, tú, pretérito imperfecto",confundirse,pomylić się,to make a mistake,tu,pret_imperfecto,te confundías,,False,
"confundirse, él, pretérito imperfecto",confundirse,pomylić się,to make a mistake,el,pret_imperfecto,se confundía,,False,
"confundirse, ns, pretérito imperfecto",confundirse,pomylić się,to make a mistake,ns,pret_imperfecto,nos confundíamos,,False,
"confundirse, vs, pretérito imperfecto",confundirse,pomylić się,to make a mistake,vs,pret_imperfecto,os confundíais,,False,
"confundirse, ellos, pretérito imperfecto",confundirse,pomylić się,to make a mistake,ellos,pret_imperfecto,se confundían,,False,
"confundirse, tú, imperativo",confundirse,pomylić się,to make a mistake,tu,imperativo,confúndete,,False,
"confundirse, usted, imperativo",confundirse,pomylić się,to make a mistake,ud,imperativo,confúndase,,False,
"confundirse, ns, imperativo",confundirse,pomylić się,to make a mistake,ns,imperativo,confundámonos,,False,
"confundirse, vs, imperativo",confundirse,pomylić się,to make a mistake,vs,imperativo,confundíos,,False,
"confundirse, ustedes, imperativo",confundirse,pomylić się,to make a mistake,uds,imperativo,confúndanse,,False,
"confundirse, yo, futuro",confundirse,pomylić się,to make a mistake,yo,futuro_simple,me confundiré,,False,
"confundirse, tú, futuro",confundirse,pomylić się,to make a mistake,tu,futuro_simple,te confundirás,,False,
"confundirse, él, futuro",confundirse,pomylić się,to make a mistake,el,futuro_simple,se confundirá,,False,
"confundirse, ns, futuro",confundirse,pomylić się,to make a mistake,ns,futuro_simple,nos confundiremos,,False,
"confundirse, vs, futuro",confundirse,pomylić się,to make a mistake,vs,futuro_simple,os confundiréis,,False,
"confundirse, ellos, futuro",confundirse,pomylić się,to make a mistake,ellos,futuro_simple,se confundirán,,False,
"conseguir, yo, presente",conseguir,zyskać,to get,yo,presente,cons<em>ig</em>o,zyskuję,True,
"conseguir, tú, presente",conseguir,zyskać,to get,tu,presente,cons<em>i</em>gues,zyskujesz,True,
"conseguir, él, presente",conseguir,zyskać,to get,el,presente,cons<em>i</em>gue,zyskuje,True,
"conseguir, ns, presente",conseguir,zyskać,to get,ns,presente,conseguimos,zyskujemy,False,
"conseguir, vs, presente",conseguir,zyskać,to get,vs,presente,conseguís,zyskujecie,False,
"conseguir, ellos, presente",conseguir,zyskać,to get,ellos,presente,cons<em>i</em>guen,zyskują,True,
"conseguir, yo, pret. indefinido",conseguir,zyskać,to get,yo,pret_indefinido,conseguí,zyskałem,False,
"conseguir, tú, pret. indefinido",conseguir,zyskać,to get,tu,pret_indefinido,conseguiste,zyskałeś,False,
"conseguir, él, pret. indefinido",conseguir,zyskać,to get,el,pret_indefinido,cons<em>i</em>guió,zyskał,True,
"conseguir, ns, pret. indefinido",conseguir,zyskać,to get,ns,pret_indefinido,conseguimos,zyskaliśmy,False,
"conseguir, vs, pret. indefinido",conseguir,zyskać,to get,vs,pret_indefinido,conseguisteis,zyskaliście,False,
"conseguir, ellos, pret. indefinido",conseguir,zyskać,to get,ellos,pret_indefinido,cons<em>i</em>guieron,zyskali,True,
"conseguir, yo, pret. perfecto",conseguir,zyskać,to get,yo,pret_perfecto,he conseguido,,False,
"conseguir, tú, pret. perfecto",conseguir,zyskać,to get,tu,pret_perfecto,has conseguido,,False,
"conseguir, él, pret. perfecto",conseguir,zyskać,to get,el,pret_perfecto,ha conseguido,,False,
"conseguir, ns, pret. perfecto",conseguir,zyskać,to get,ns,pret_perfecto,hemos conseguido,,False,
"conseguir, vs, pret. perfecto",conseguir,zyskać,to get,vs,pret_perfecto,habéis conseguido,,False,
"conseguir, ellos, pret. perfecto",conseguir,zyskać,to get,ellos,pret_perfecto,han conseguido,,False,
"conseguir, yo, presente progresivo",conseguir,zyskać,to get,yo,presente_progresivo,estoy cons<em>i</em>guiendo,,True,
"conseguir, tú, presente progresivo",conseguir,zyskać,to get,tu,presente_progresivo,estás cons<em>i</em>guiendo,,True,
"conseguir, él, presente progresivo",conseguir,zyskać,to get,el,presente_progresivo,está cons<em>i</em>guiendo,,True,
"conseguir, ns, presente progresivo",conseguir,zyskać,to get,ns,presente_progresivo,estamos cons<em>i</em>guiendo,,True,
"conseguir, vs, presente progresivo",conseguir,zyskać,to get,vs,presente_progresivo,estáis cons<em>i</em>guiendo,,True,
"conseguir, ellos, presente progresivo",conseguir,zyskać,to get,ellos,presente_progresivo,están cons<em>i</em>guiendo,,True,
"conseguir, yo, pretérito imperfecto",conseguir,zyskać,to get,yo,pret_imperfecto,conseguía,,False,
"conseguir, tú, pretérito imperfecto",conseguir,zyskać,to get,tu,pret_imperfecto,conseguías,,False,
"conseguir, él, pretérito imperfecto",conseguir,zyskać,to get,el,pret_imperfecto,conseguía,,False,
"conseguir, ns, pretérito imperfecto",conseguir,zyskać,to get,ns,pret_imperfecto,conseguíamos,,False,
"conseguir, vs, pretérito imperfecto",conseguir,zyskać,to get,vs,pret_imperfecto,conseguíais,,False,
"conseguir, ellos, pretérito imperfecto",conseguir,zyskać,to get,ellos,pret_imperfecto,conseguían,,False,
"conseguir, tú, imperativo",conseguir,zyskać,to get,tu,imperativo,cons<em>i</em>gue,,True,
"conseguir, usted, imperativo",conseguir,zyskać,to get,ud,imperativo,cons<em>ig</em>a,,True,
"conseguir, ns, imperativo",conseguir,zyskać,to get,ns,imperativo,cons<em>ig</em>amos,,True,
"conseguir, vs, imperativo",conseguir,zyskać,to get,vs,imperativo,conseguid,,False,
"conseguir, ustedes, imperativo",conseguir,zyskać,to get,uds,imperativo,cons<em>ig</em>an,,True,
"conseguir, yo, futuro",conseguir,zyskać,to get,yo,futuro_simple,conseguiré,,False,
"conseguir, tú, futuro",conseguir,zyskać,to get,tu,futuro_simple,conseguirás,,False,
"conseguir, él, futuro",conseguir,zyskać,to get,el,futuro_simple,conseguirá,,False,
"conseguir, ns, futuro",conseguir,zyskać,to get,ns,futuro_simple,conseguiremos,,False,
"conseguir, vs, futuro",conseguir,zyskać,to get,vs,futuro_simple,conseguiréis,,False,
"conseguir, ellos, futuro",conseguir,zyskać,to get,ellos,futuro_simple,conseguirán,,False,
"dar, yo, presente",dar,dać,to give,yo,presente,do<em>y</em>,daję,True,
"dar, tú, presente",dar,dać,to give,tu,presente,das,dajesz,False,
"dar, él, presente",dar,dać,to give,el,presente,da,daje,False,
"dar, ns, presente",dar,dać,to give,ns,presente,damos,dajemy,False,
"dar, vs, presente",dar,dać,to give,vs,presente,d<em>a</em>is,dajecie,True,
"dar, ellos, presente",dar,dać,to give,ellos,presente,dan,dają,False,
"dar, yo, pret. indefinido",dar,dać,to give,yo,pret_indefinido,d<em>i</em>,dałem,True,
"dar, tú, pret. indefinido",dar,dać,to give,tu,pret_indefinido,d<em>i</em>ste,dałeś,True,
"dar, él, pret. indefinido",dar,dać,to give,el,pret_indefinido,d<em>io</em>,dał,True,
"dar, ns, pret. indefinido",dar,dać,to give,ns,pret_indefinido,d<em>i</em>mos,daliśmy,True,
"dar, vs, pret. indefinido",dar,dać,to give,vs,pret_indefinido,d<em>i</em>steis,daliście,True,
