#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"dar, yo, futuro",dar,dać,to give,yo,futuro_simple,daré,,False,
"dar, tú, futuro",dar,dać,to give,tu,futuro_simple,darás,,False,
"dar, él, futuro",dar,dać,to give,el,futuro_simple,dará,,False,
"dar, ns, futuro",dar,dać,to give,ns,futuro_simple,daremos,,False,
"dar, vs, futuro",dar,dać,to give,vs,futuro_simple,daréis,,False,
"dar, ellos, futuro",dar,dać,to give,ellos,futuro_simple,darán,,False,
"decir, yo, presente",decir,mówić,to say,yo,presente,d<em>ig</em>o,mówię,True,
"decir, tú, presente",decir,mówić,to say,tu,presente,d<em>i</em>ces,mówisz,True,
"decir, él, presente",decir,mówić,to say,el,presente,d<em>i</em>ce,mówi,True,
"decir, ns, presente",decir,mówić,to say,ns,presente,decimos,mówimy,False,
"decir, vs, presente",decir,mówić,to say,vs,presente,decís,mówicie,False,
"decir, ellos, presente",decir,mówić,to say,ellos,presente,d<em>i</em>cen,mówią,True,
"decir, yo, pret. indefinido",decir,mówić,to say,yo,pret_indefinido,d<em>ije</em>,mówiłem,True,
"decir, tú, pret. indefinido",decir,mówić,to say,tu,pret_indefinido,d<em>ij</em>iste,mówiłeś,True,
"decir, él, pret. indefinido",decir,mówić,to say,el,pret_indefinido,d<em>ijo</em>,mówił,True,
"decir, ns, pret. indefinido",decir,mówić,to say,ns,pret_indefinido,d<em>ij</em>imos,mówiliśmy,True,
"decir, vs, pret. indefinido",decir,mówić,to say,vs,pret_indefinido,d<em>ij</em>isteis,mówiliście,True,
"decir, ellos, pret. indefinido",decir,mówić,to say,ellos,pret_indefinido,d<em>ij</em>eron,mówili,True,
"decir, yo, pret. perfecto",decir,mówić,to say,yo,pret_perfecto,he d<em>ich</em>o,,True,
"decir, tú, pret. perfecto",decir,mówić,to say,tu,pret_perfecto,has d<em>ich</em>o,,True,
"decir, él, pret. perfecto",decir,mówić,to say,el,pret_perfecto,ha d<em>ich</em>o,,True,
"decir, ns, pret. perfecto",decir,mówić,to say,ns,pret_perfecto,hemos d<em>ich</em>o,,True,
"decir, vs, pret. perfecto",decir,mówić,to say,vs,pret_perfecto,habéis d<em>ich</em>o,,True,
"decir, ellos, pret. perfecto",decir,mówić,to say,ellos,pret_perfecto,han d<em>ich</em>o,,True,
"decir, yo, presente progresivo",decir,mówić,to say,yo,presente_progresivo,estoy d<em>i</em>ciendo,,True,
"decir, tú, presente progresivo",decir,mówić,to say,tu,presente_progresivo,estás d<em>i</em>ciendo,,True,
"decir, él, presente progresivo",decir,mówić,to say,el,presente_progresivo,está d<em>i</em>ciendo,,True,
"decir, ns, presente progresivo",decir,mówić,to say,ns,presente_progresivo,estamos d<em>i</em>ciendo,,True,
"decir, vs, presente progresivo",decir,mówić,to say,vs,presente_progresivo,estáis d<em>i</em>ciendo,,True,
"decir, ellos, presente progresivo",decir,mówić,to say,ellos,presente_progresivo,están d<em>i</em>ciendo,,True,
"decir, yo, pretérito imperfecto",decir,mówić,to say,yo,pret_imperfecto,decía,,False,
"decir, tú, pretérito imperfecto",decir,mówić,to say,tu,pret_imperfecto,decías,,False,
"decir, él, pretérito imperfecto",decir,mówić,to say,el,pret_imperfecto,decía,,False,
"decir, ns, pretérito imperfecto",decir,mówić,to say,ns,pret_imperfecto,decíamos,,False,
"decir, vs, pretérito imperfecto",decir,mówić,to say,vs,pret_imperfecto,decíais,,False,
"decir, ellos, pretérito imperfecto",decir,mówić,to say,ellos,pret_imperfecto,decían,,False,
"decir, tú, imperativo",decir,mówić,to say,tu,imperativo,d<em>i</em>,,True,
"decir, usted, imperativo",decir,mówić,to say,ud,imperativo,d<em>ig</em>a,,True,
"decir, ns, imperativo",decir,mówić,to say,ns,imperativo,d<em>ig</em>amos,,True,
"decir, vs, imperativo",decir,mówić,to say,vs,imperativo,decid,,False,
"decir, ustedes, imperativo",decir,mówić,to say,uds,imperativo,d<em>ig</em>an,,True,
"decir, yo, futuro",decir,mówić,to say,yo,futuro_simple,d<em>ir</em>é,,True,
"decir, tú, futuro",decir,mówić,to say,tu,futuro_simple,d<em>ir</em>ás,,True,
"decir, él, futuro",decir,mówić,to say,el,futuro_simple,d<em>ir</em>á,,True,
"decir, ns, futuro",decir,mówić,to say,ns,futuro_simple,d<em>ir</em>emos,,True,
"decir, vs, futuro",decir,mówić,to say,vs,futuro_simple,d<em>ir</em>éis,,True,
"decir, ellos, futuro",decir,mówić,to say,ellos,futuro_simple,d<em>ir</em>án,,True,
"dejar, yo, presente",dejar,pozostawić,to leave,yo,presente,dejo,,False,
"dejar, tú, presente",dejar,pozostawić,to leave,tu,presente,dejas,,False,
"dejar, él, presente",dejar,pozostawić,to leave,el,presente,deja,,False,
"dejar, ns, presente",dejar,pozostawić,to leave,ns,presente,dejamos,,False,
"dejar, vs, presente",dejar,pozostawić,to leave,vs,presente,dejáis,,False,
"dejar, ellos, presente",dejar,pozostawić,to leave,ellos,presente,dejan,,False,
"dejar, yo, pret. indefinido",dejar,pozostawić,to leave,yo,pret_indefinido,dejé,,False,
"dejar, tú, pret. indefinido",dejar,pozostawić,to leave,tu,pret_indefinido,dejaste,,False,
"dejar, él, pret. indefinido",dejar,pozostawić,to leave,el,pret_indefinido,dejó,,False,
"dejar, ns, pret. indefinido",dejar,pozostawić,to leave,ns,pret_indefinido,dejamos,,False,
"dejar, vs, pret. indefinido",dejar,pozostawić,to leave,vs,pret_indefinido,dejasteis,,False,
"dejar, ellos, pret. indefinido",dejar,pozostawić,to leave,ellos,pret_indefinido,dejaron,,False,
"dejar, yo, pret. perfecto",dejar,pozostawić,to leave,yo,pret_perfecto,he dejado,,False,
"dejar, tú, pret. perfecto",dejar,pozostawić,to leave,tu,pret_perfecto,has dejado,,False,
"dejar, él, pret. perfecto",dejar,pozostawić,to leave,el,pret_perfecto,ha dejado,,False,
"dejar, ns, pret. perfecto",dejar,pozostawić,to leave,ns,pret_perfecto,hemos dejado,,False,
"dejar, vs, pret. perfecto",dejar,pozostawić,to leave,vs,pret_perfecto,habéis dejado,,False,
"dejar, ellos, pret. perfecto",dejar,pozostawić,to leave,ellos,pret_perfecto,han dejado,,False,
"dejar, yo, presente progresivo",dejar,pozostawić,to leave,yo,presente_progresivo,estoy dejando,,False,
"dejar, tú, presente progresivo",dejar,pozostawić,to leave,tu,presente_progresivo,estás dejando,,False,
"dejar, él, presente progresivo",dejar,pozostawić,to leave,el,presente_progresivo,está dejando,,False,
"dejar, ns, presente progresivo",dejar,pozostawić,to leave,ns,presente_progresivo,estamos dejando,,False,
"dejar, vs, presente progresivo",dejar,pozostawić,to leave,vs,presente_progresivo,estáis dejando,,False,
"dejar, ellos, presente progresivo",dejar,pozostawić,to leave,ellos,presente_progresivo,están dejando,,False,
"dejar, yo, pretérito imperfecto",dejar,pozostawić,to leave,yo,pret_imperfecto,dejaba,,False,
"dejar, tú, pretérito imperfecto",dejar,pozostawić,to leave,tu,pret_imperfecto,dejabas,,False,
"dejar, él, pretérito imperfecto",dejar,pozostawić,to leave,el,pret_imperfecto,dejaba,,False,
"dejar, ns, pretérito imperfecto",dejar,pozostawić,to leave,ns,pret_imperfecto,dejábamos,,False,
"dejar, vs, pretérito imperfecto",dejar,pozostawić,to leave,vs,pret_imperfecto,dejabais,,False,
"dejar, ellos, pretérito imperfecto",dejar,pozostawić,to leave,ellos,pret_imperfecto,dejaban,,False,
"dejar, tú, imperativo",dejar,pozostawić,to leave,tu,imperativo,deja,,False,
"dejar, usted, imperativo",dejar,pozostawić,to leave,ud,imperativo,deje,,False,
"dejar, ns, imperativo",dejar,pozostawić,to leave,ns,imperativo,dejemos,,False,
"dejar, vs, imperativo",dejar,pozostawić,to leave,vs,imperativo,dejad,,False,
"dejar, ustedes, imperativo",dejar,pozostawić,to leave,uds,imperativo,dejen,,False,
"dejar, yo, futuro",dejar,pozostawić,to leave,yo,futuro_simple,dejaré,,False,
"dejar, tú, futuro",dejar,pozostawić,to leave,tu,futuro_simple,dejarás,,False,
"dejar, él, futuro",dejar,pozostawić,to leave,el,futuro_simple,dejará,,False,
"dejar, ns, futuro",dejar,pozostawić,to leave,ns,futuro_simple,dejaremos,,False,
"dejar, vs, futuro",dejar,pozostawić,to leave,vs,futuro_simple,dejaréis,,False,
"dejar, ellos, futuro",dejar,pozostawić,to leave,ellos,futuro_simple,dejarán,,False,
"despertarse, yo, presente",despertarse,budzić się,to wake up,yo,presente,me desp<em>i</em>erto,budzę się,True,
"despertarse, tú, presente",despertarse,budzić się,to wake up,tu,presente,te desp<em>i</em>ertas,budzisz się,True,
"despertarse, él, presente",despertarse,budzić się,to wake up,el,presente,se desp<em>i</em>erta,budzi się,True,
"despertarse, ns, presente",despertarse,budzić się,to wake up,ns,presente,nos despertamos,budzimy się,False,
"despertarse, vs, presente",despertarse,budzić się,to wake up,vs,presente,os despertáis,budzicie się,False,
"despertarse, ellos, presente",despertarse,budzić się,to wake up,ellos,presente,se desp<em>i</em>ertan,budzą się,True,
"despertarse, yo, pret. indefinido",despertarse,budzić się,to wake up,yo,pret_indefinido,me desperté,budziłem się,False,
"despertarse, tú, pret. indefinido",despertarse,budzić się,to wake up,tu,pret_indefinido,te despertaste,budziłeś się,False,
"despertarse, él, pret. indefinido",despertarse,budzić się,to wake up,el,pret_indefinido,se despertó,budził się,False,
"despertarse, ns, pret. indefinido",despertarse,budzić się,to wake up,ns,pret_indefinido,nos despertamos,budziliśmy się,False,
"despertarse, vs, pret. indefinido",despertarse,budzić się,to wake up,vs,pret_indefinido,os despertasteis,budziliście się,False,
"despertarse, ellos, pret. indefinido",despertarse,budzić się,to wake up,ellos,pret_indefinido,se despertaron,budzili się,False,
"despertarse, yo, pret. perfecto",despertarse,budzić się,to wake up,yo,pret_perfecto,me he despertado,,False,
"despertarse, tú, pret. perfecto",despertarse,budzić się,to wake up,tu,pret_perfecto,te has despertado,,False,
"despertarse, él, pret. perfecto",despertarse,budzić się,to wake up,el,pret_perfecto,se ha despertado,,False,
"despertarse, ns, pret. perfecto",despertarse,budzić się,to wake up,ns,pret_perfecto,nos hemos despertado,,False,
"despertarse, vs, pret. perfecto",despertarse,budzić się,to wake up,vs,pret_perfecto,os habéis despertado,,False,
"despertarse, ellos, pret. perfecto",despertarse,budzić się,to wake up,ellos,pret_perfecto,se han despertado,,False,
"despertarse, yo, presente progresivo",despertarse,budzić się,to wake up,yo,presente_progresivo,me estoy despertando,,False,
"despertarse, tú, presente progresivo",despertarse,budzić się,to wake up,tu,presente_progresivo,te estás despertando,,False,
"despertarse, él, presente progresivo",despertarse,budzić się,to wake up,el,presente_progresivo,se está despertando,,False,
"despertarse, ns, presente progresivo",despertarse,budzić się,to wake up,ns,presente_progresivo,nos estamos despertando,,False,
"despertarse, vs, presente progresivo",despertarse,budzić się,to wake up,vs,presente_progresivo,os estáis despertando,,False,
"despertarse, ellos, presente progresivo",despertarse,budzić się,to wake up,ellos,presente_progresivo,se están despertando,,False,
"despertarse, yo, pretérito imperfecto",despertarse,budzić się,to wake up,yo,pret_imperfecto,me despertaba,,False,
"despertarse, tú, pretérito imperfecto",despertarse,budzić się,to wake up,tu,pret_imperfecto,te despertabas,,False,
"despertarse, él, pretérito imperfecto",despertarse,budzić się,to wake up,el,pret_imperfecto,se despertaba,,False,
"despertarse, ns, pretérito imperfecto",despertarse,budzić się,to wake up,ns,pret_imperfecto,nos despertábamos,,False,
"despertarse, vs, pretérito imperfecto",despertarse,budzić się,to wake up,vs,pret_imperfecto,os despertabais,,False,
"despertarse, ellos, pretérito imperfecto",despertarse,budzić się,to wake up,ellos,pret_imperfecto,se despertaban,,False,
"despertarse, tú, imperativo",despertarse,budzić się,to wake up,tu,imperativo,desp<em>i</em>értate,,True,
"despertarse, usted, imperativo",despertarse,budzić się,to wake up,ud,imperativo,desp<em>i</em>értese,,True,
"despertarse, ns, imperativo",despertarse,budzić się,to wake up,ns,imperativo,despertémonos,,False,
"despertarse, vs, imperativo",despertarse,budzić się,to wake up,vs,imperativo,despertaos,,False,
"despertarse, ustedes, imperativo",despertarse,budzić się,to wake up,uds,imperativo,desp<em>i</em>értense,,True,
"despertarse, yo, futuro",despertarse,budzić się,to wake up,yo,futuro_simple,me despertaré,,False,
"despertarse, tú, futuro",despertarse,budzić się,to wake up,tu,futuro_simple,te despertarás,,False,
"despertarse, él, futuro",despertarse,budzić się,to wake up,el,futuro_simple,se despertará,,False,
"despertarse, ns, futuro",despertarse,budzić się,to wake up,ns,futuro_simple,nos despertaremos,,False,
"despertarse, vs, futuro",despertarse,budzić się,to wake up,vs,futuro_simple,os despertaréis,,False,
"despertarse, ellos, futuro",despertarse,budzić się,to wake up,ellos,futuro_simple,se despertarán,,False,
"dormir, yo, presente",dormir,spać,to sleep,yo,presente,d<em>ue</em>rmo,śpę,True,
"dormir, tú, presente",dormir,spać,to sleep,tu,presente,d<em>ue</em>rmes,śpisz,True,
"dormir, él, presente",dormir,spać,to sleep,el,presente,d<em>ue</em>rme,śpi,True,
"dormir, ns, presente",dormir,spać,to sleep,ns,presente,dormimos,śpimy,False,
"dormir, vs, presente",dormir,spać,to sleep,vs,presente,dormís,śpicie,False,
"dormir, ellos, presente",dormir,spać,to sleep,ellos,presente,d<em>ue</em>rmen,śpią,True,
"dormir, yo, pret. indefinido",dormir,spać,to sleep,yo,pret_indefinido,dormí,spałem,False,
"dormir, tú, pret. indefinido",dormir,spać,to sleep,tu,pret_indefinido,dormiste,spałeś,False,
"dormir, él, pret. indefinido",dormir,spać,to sleep,el,pret_indefinido,d<em>u</em>rmió,spał,True,
"dormir, ns, pret. indefinido",dormir,spać,to sleep,ns,pret_indefinido,dormimos,spaliśmy,False,
"dormir, vs, pret. indefinido",dormir,spać,to sleep,vs,pret_indefinido,dormisteis,spaliście,False,
"dormir, ellos, pret. indefinido",dormir,spać,to sleep,ellos,pret_indefinido,d<em>u</em>rmieron,spali,True,
"dormir, yo, pret. perfecto",dormir,spać,to sleep,yo,pret_perfecto,he dormido,,False,
"dormir, tú, pret. perfecto",dormir,spać,to sleep,tu,pret_perfecto,has dormido,,False,
"dormir, él, pret. perfecto",dormir,spać,to sleep,el,pret_perfecto,ha dormido,,False,
"dormir, ns, pret. perfecto",dormir,spać,to sleep,ns,pret_perfecto,hemos dormido,,False,
"dormir, vs, pret. perfecto",dormir,spać,to sleep,vs,pret_perfecto,habéis dormido,,False,
"dormir, ellos, pret. perfecto",dormir,spać,to sleep,ellos,pret_perfecto,han dormido,,False,
"dormir, yo, presente progresivo",dormir,spać,to sleep,yo,presente_progresivo,estoy d<em>u</em>rmiendo,,True,
"dormir, tú, presente progresivo",dormir,spać,to sleep,tu,presente_progresivo,estás d<em>u</em>rmiendo,,True,
"dormir, él, presente progresivo",dormir,spać,to sleep,el,presente_progresivo,está d<em>u</em>rmiendo,,True,
"dormir, ns, presente progresivo",dormir,spać,to sleep,ns,presente_progresivo,estamos d<em>u</em>rmiendo,,True,
"dormir, vs, presente progresivo",dormir,spać,to sleep,vs,presente_progresivo,estáis d<em>u</em>rmiendo,,True,
"dormir, ellos, presente progresivo",dormir,spać,to sleep,ellos,presente_progresivo,están d<em>u</em>rmiendo,,True,
"dormir, yo, pretérito imperfecto",dormir,spać,to sleep,yo,pret_imperfecto,dormía,,False,
"dormir, tú, pretérito imperfecto",dormir,spać,to sleep,tu,pret_imperfecto,dormías,,False,
"dormir, él, pretérito imperfecto",dormir,spać,to sleep,el,pret_imperfecto,dormía,,False,
"dormir, ns, pretérito imperfecto",dormir,spać,to sleep,ns,pret_imperfecto,dormíamos,,False,
"dormir, vs, pretérito imperfecto",dormir,spać,to sleep,vs,pret_imperfecto,dormíais,,False,
"dormir, ellos, pretérito imperfecto",dormir,spać,to sleep,ellos,pret_imperfecto,dormían,,False,
"dormir, tú, imperativo",dormir,spać,to sleep,tu,imperativo,d<em>ue</em>rme,,True,
"dormir, usted, imperativo",dormir,spać,to sleep,ud,imperativo,d<em>ue</em>rma,,True,
"dormir, ns, imperativo",dormir,spać,to sleep,ns,imperativo,d<em>u</em>rmamos,,True,
"dormir, vs, imperativo",dormir,spać,to sleep,vs,imperativo,dormid,,False,
"dormir, ustedes, imperativo",dormir,spać,to sleep,uds,imperativo,d<em>ue</em>rman,,True,
"dormir, yo, futuro",dormir,spać,to sleep,yo,futuro_simple,dormiré,,False,
"dormir, tú, futuro",dormir,spać,to sleep,tu,futuro_simple,dormirás,,False,
"dormir, él, futuro",dormir,spać,to sleep,el,futuro_simple,dormirá,,False,
"dormir, ns, futuro",dormir,spać,to sleep,ns,futuro_simple,dormiremos,,False,
"dormir, vs, futuro",dormir,spać,to sleep,vs,futuro_simple,dormiréis,,False,
"dormir, ellos, futuro",dormir,spać,to sleep,ellos,futuro_simple,dormirán,,False,
"empezar, yo, presente",empezar,zaczynać,to start,yo,presente,emp<em>i</em>ezo,zaczynam,True,
"empezar, tú, presente",empezar,zaczynać,to start,tu,presente,emp<em>i</em>ezas,zaczynasz,True,
"empezar, él, presente",empezar,zaczynać,to start,el,presente,emp<em>i</em>eza,zaczyna,True,
"empezar, ns, presente",empezar,zaczynać,to start,ns,presente,empezamos,zaczynamy,False,
"empezar, vs, presente",empezar,zaczynać,to start,vs,presente,empezáis,zaczynacie,False,
"empezar, ellos, presente",empezar,zaczynać,to start,ellos,presente,emp<em>i</em>ezan,zaczynją,True,
"empezar, yo, pret. indefinido",empezar,zaczynać,to start,yo,pret_indefinido,empe<em>c</em>é,zaczynałem,True,
"empezar, tú, pret. indefinido",empezar,zaczynać,to start,tu,pret_indefinido,empezaste,zaczynałeś,False,
"empezar, él, pret. indefinido",empezar,zaczynać,to start,el,pret_indefinido,empezó,zaczynał,False,
"empezar, ns, pret. indefinido",empezar,zaczynać,to start,ns,pret_indefinido,empezamos,zaczynaliśmy,False,
"empezar, vs, pret. indefinido",empezar,zaczynać,to start,vs,pret_indefinido,empezasteis,zaczynaliście,False,
"empezar, ellos, pret. indefinido",empezar,zaczynać,to start,ellos,pret_indefinido,empezaron,zaczynali,False,
"empezar, yo, pret. perfecto",empezar,zaczynać,to start,yo,pret_perfecto,he empezado,,False,
"empezar, tú, pret. perfecto",empezar,zaczynać,to start,tu,pret_perfecto,has empezado,,False,
"empezar, él, pret. perfecto",empezar,zaczynać,to start,el,pret_perfecto,ha empezado,,False,
"empezar, ns, pret. perfecto",empezar,zaczynać,to start,ns,pret_perfecto,hemos empezado,,False,
"empezar, vs, pret. perfecto",empezar,zaczynać,to start,vs,pret_perfecto,habéis empezado,,False,
"empezar, ellos, pret. perfecto",empezar,zaczynać,to start,ellos,pret_perfecto,han empezado,,False,
"empezar, yo, presente progresivo",empezar,zaczynać,to start,yo,presente_progresivo,estoy empezando,,False,
"empezar, tú, presente progresivo",empezar,zaczynać,to start,tu,presente_progresivo,estás empezando,,False,
"empezar, él, presente progresivo",empezar,zaczynać,to start,el,presente_progresivo,está empezando,,False,
"empezar, ns, presente progresivo",empezar,zaczynać,to start,ns,presente_progresivo,estamos empezando,,False,
"empezar, vs, presente progresivo",empezar,zaczynać,to start,vs,presente_progresivo,estáis empezando,,False,
"empezar, ellos, presente progresivo",empezar,zaczynać,to start,ellos,presente_progresivo,están empezando,,False,
"empezar, yo, pretérito imperfecto",empezar,zaczynać,to start,yo,pret_imperfecto,empezaba,,False,
"empezar, tú, pretérito imperfecto",empezar,zaczynać,to start,tu,pret_imperfecto,empezabas,,False,
"empezar, él, pretérito imperfecto",empezar,zaczynać,to start,el,pret_imperfecto,empezaba,,False,
"empezar, ns, pretérito imperfecto",empezar,zaczynać,to start,ns,pret_imperfecto,empezábamos,,False,
"empezar, vs, pretérito imperfecto",empezar,zaczynać,to start,vs,pret_imperfecto,empezabais,,False,
"empezar, ellos, pretérito imperfecto",empezar,zaczynać,to start,ellos,pret_imperfecto,empezaban,,False,
"empezar, tú, imperativo",empezar,zaczynać,to start,tu,imperativo,emp<em>i</em>eza,,True,
"empezar, usted, imperativo",empezar,zaczynać,to start,ud,imperativo,emp<em>iec</em>e,,True,
"empezar, ns, imperativo",empezar,zaczynać,to start,ns,imperativo,empe<em>c</em>emos,,True,
"empezar, vs, imperativo",empezar,zaczynać,to start,vs,imperativo,empezad,,False,
"empezar, ustedes, imperativo",empezar,zaczynać,to start,uds,imperativo,emp<em>iec</em>en,,True,
"empezar, yo, futuro",empezar,zaczynać,to start,yo,futuro_simple,empezaré,,False,
"empezar, tú, futuro",empezar,zaczynać,to start,tu,futuro_simple,empezarás,,False,
"empezar, él, futuro",empezar,zaczynać,to start,el,futuro_simple,empezará,,False,
"empezar, ns, futuro",empezar,zaczynać,to start,ns,futuro_simple,empezaremos,,False,
"empezar, vs, futuro",empezar,zaczynać,to start,vs,futuro_simple,empezaréis,,False,
"empezar, ellos, futuro",empezar,zaczynać,to start,ellos,futuro_simple,empezarán,,False,
"entender, yo, presente",entender,rozumieć,to understand,yo,presente,ent<em>i</em>endo,,True,
"entender, tú, presente",entender,rozumieć,to understand,tu,presente,ent<em>i</em>endes,,True,
"entender, él, presente",entender,rozumieć,to understand,el,presente,ent<em>i</em>ende,,True,
"entender, ns, presente",entender,rozumieć,to understand,ns,presente,entendemos,,False,
"entender, vs, presente",entender,rozumieć,to understand,vs,presente,entendéis,,False,
"entender, ellos, presente",entender,rozumieć,to understand,ellos,presente,ent<em>i</em>enden,,True,
"entender, yo, pret. indefinido",entender,rozumieć,to understand,yo,pret_indefinido,entendí,,False,
"entender, tú, pret. indefinido",entender,rozumieć,to understand,tu,pret_indefinido,entendiste,,False,
"entender, él, pret. indefinido",entender,rozumieć,to understand,el,pret_indefinido,entendió,,False,
"entender, ns, pret. indefinido",entender,rozumieć,to understand,ns,pret_indefinido,entendimos,,False,
"entender, vs, pret. indefinido",entender,rozumieć,to understand,vs,pret_indefinido,entendisteis,,False,
"entender, ellos, pret. indefinido",entender,rozumieć,to understand,ellos,pret_indefinido,entendieron,,False,
"entender, yo, pret. perfecto",entender,rozumieć,to understand,yo,pret_perfecto,he entendido,,False,
"entender, tú, pret. perfecto",entender,rozumieć,to understand,tu,pret_perfecto,has entendido,,False,
"entender, él, pret. perfecto",entender,rozumieć,to understand,el,pret_perfecto,ha entendido,,False,
"entender, ns, pret. perfecto",entender,rozumieć,to understand,ns,pret_perfecto,hemos entendido,,False,
"entender, vs, pret. perfecto",entender,rozumieć,to understand,vs,pret_perfecto,habéis entendido,,False,
"entender, ellos, pret. perfecto",entender,rozumieć,to understand,ellos,pret_perfecto,han entendido,,False,
"entender, yo, presente progresivo",entender,rozumieć,to understand,yo,presente_progresivo,estoy entendiendo,,False,
"entender, tú, presente progresivo",entender,rozumieć,to understand,tu,presente_progresivo,estás entendiendo,,False,
"entender, él, presente progresivo",entender,rozumieć,to understand,el,presente_progresivo,está entendiendo,,False,
"entender, ns, presente progresivo",entender,rozumieć,to understand,ns,presente_progresivo,estamos entendiendo,,False,
"entender, vs, presente progresivo",entender,rozumieć,to understand,vs,presente_progresivo,estáis entendiendo,,False,
"entender, ellos, presente progresivo",entender,rozumieć,to understand,ellos,presente_progresivo,están entendiendo,,False,
"entender, yo, pretérito imperfecto",entender,rozumieć,to understand,yo,pret_imperfecto,entendía,,False,
"entender, tú, pretérito imperfecto",entender,rozumieć,to understand,tu,pret_imperfecto,entendías,,False,
"entender, él, pretérito imperfecto",entender,rozumieć,to understand,el,pret_imperfecto,entendía,,False,
"entender, ns, pretérito imperfecto",entender,rozumieć,to understand,ns,pret_imperfecto,entendíamos,,False,
"entender, vs, pretérito imperfecto",entender,rozumieć,to understand,vs,pret_imperfecto,entendíais,,False,
"entender, ellos, pretérito imperfecto",entender,rozumieć,to understand,ellos,pret_imperfecto,entendían,,False,
"entender, tú, imperativo",entender,rozumieć,to understand,tu,imperativo,ent<em>i</em>ende,,True,
"entender, usted, imperativo",entender,rozumieć,to understand,ud,imperativo,ent<em>i</em>enda,,True,
"entender, ns, imperativo",entender,rozumieć,to understand,ns,imperativo,entendamos,,False,
"entender, vs, imperativo",entender,rozumieć,to understand,vs,imperativo,entended,,False,
"entender, ustedes, imperativo",entender,rozumieć,to understand,uds,imperativo,ent<em>i</em>endan,,True,
"entender, yo, futuro",entender,rozumieć,to understand,yo,futuro_simple,entenderé,,False,
"entender, tú, futuro",entender,rozumieć,to understand,tu,futuro_simple,entenderás,,False,
"entender, él, futuro",entender,rozumieć,to understand,el,futuro_simple,entenderá,,False,
"entender, ns, futuro",entender,rozumieć,to understand,ns,futuro_simple,entenderemos,,False,
"entender, vs, futuro",entender,rozumieć,to understand,vs,futuro_simple,entenderéis,,False,
"entender, ellos, futuro",entender,rozumieć,to understand,ellos,futuro_simple,entenderán,,False,
"estar, yo, presente",estar,być,to be,yo,presente,esto<em>y</em>,jestem,True,estar
"estar, tú, presente",estar,być,to be,tu,presente,est<em>á</em>s,jesteś,True,estar
"estar, él, presente",estar,być,to be,el,presente,est<em>á</em>,jest,True,estar
"estar, ns, presente",estar,być,to be,ns,presente,estamos,jestmy,False,estar
"estar, vs, presente",estar,być,to be,vs,presente,estáis,jestcie,False,estar
"estar, ellos, presente",estar,być,to be,ellos,presente,est<em>á</em>n,są,True,estar
"estar, yo, pret. indefinido",estar,być,to be,yo,pret_indefinido,est<em>uve</em>,byłem,True,estar
"estar, tú, pret. indefinido",estar,być,to be,tu,pret_indefinido,est<em>uvi</em>ste,byłeś,True,estar
"estar, él, pret. indefinido",estar,być,to be,el,pret_indefinido,est<em>uvo</em>,był,True,estar
"estar, ns, pret. indefinido",estar,być,to be,ns,pret_indefinido,est<em>uvi</em>mos,byliśmy,True,estar
"estar, vs, pret. indefinido",estar,być,to be,vs,pret_indefinido,est<em>uvi</em>steis,byliście,True,estar
"estar, ellos, pret. indefinido",estar,być,to be,ellos,pret_indefinido,est<em>uvie</em>ron,byli,True,estar
"estar, yo, pret. perfecto",estar,być,to be,yo,pret_perfecto,he estado,,False,estar
"estar, tú, pret. perfecto",estar,być,to be,tu,pret_perfecto,has estado,,False,estar
"estar, él, pret. perfecto",estar,być,to be,el,pret_perfecto,ha estado,,False,estar
"estar, ns, pret. perfecto",estar,być,to be,ns,pret_perfecto,hemos estado,,False,estar
"estar, vs, pret. perfecto",estar,być,to be,vs,pret_perfecto,habéis estado,,False,estar
"estar, ellos, pret. perfecto",estar,być,to be,ellos,pret_perfecto,han estado,,False,estar
"estar, yo, presente progresivo",estar,być,to be,yo,presente_progresivo,estoy estando,,False,estar
"estar, tú, presente progresivo",estar,być,to be,tu,presente_progresivo,estás estando,,False,estar
"estar, él, presente progresivo",estar,być,to be,el,presente_progresivo,está estando,,False,estar
"estar, ns, presente progresivo",estar,być,to be,ns,presente_progresivo,estamos estando,,False,estar
"estar, vs, presente progresivo",estar,być,to be,vs,presente_progresivo,estáis estando,,False,estar
"estar, ellos, presente progresivo",estar,być,to be,ellos,presente_progresivo,están estando,,False,estar
"estar, yo, pretérito imperfecto",estar,być,to be,yo,pret_imperfecto,estaba,,False,estar
"estar, tú, pretérito imperfecto",estar,być,to be,tu,pret_imperfecto,estabas,,False,estar
"estar, él, pretérito imperfecto",estar,być,to be,el,pret_imperfecto,estaba,,False,estar
"estar, ns, pretérito imperfecto",estar,być,to be,ns,pret_imperfecto,estábamos,,False,estar
"estar, vs, pretérito imperfecto",estar,być,to be,vs,pret_imperfecto,estabais,,False,estar
"estar, ellos, pretérito imperfecto",estar,być,to be,ellos,pret_imperfecto,estaban,,False,estar
"estar, tú, imperativo",estar,być,to be,tu,imperativo,est<em>á</em>,,True,estar
"estar, usted, imperativo",estar,być,to be,ud,imperativo,est<em>é</em>,,True,estar
